#ClusterName,#ID,Mass,LogTeff,Logg,Av,Log age,DistMod,G,Bp,Rp
NGC_6494,2273987966923702273,0.90676,3.732,4.591,1.23818,8.57978,9.35202,15.64463,16.29716,14.82764
NGC_6494,2273987966923702274,0.32493,3.5079,4.937,1.33009,8.57978,9.35202,20.97578,22.94589,19.57895
NGC_6494,2273987967057920004*,9999.0,9999.0,9999.0,1.35479,8.57978,9.35202,19.66005,21.49241,18.29519
NGC_6494,2273987967057920004A,0.36063,3.5158,4.911,1.35479,8.57978,9.35202,20.42891,22.26525,19.06307
NGC_6494,2273987967057920004B,0.357,3.561,4.9,1.35479,8.57978,9.35202,20.39658,22.22509,19.03268
NGC_6494,2273987967057920007*,9999.0,9999.0,9999.0,1.27028,8.57978,9.35202,20.15284,22.05373,18.7711
NGC_6494,2273987967057920007A,0.36875,3.5177,4.903,1.27028,8.57978,9.35202,20.44535,22.27318,19.08162
NGC_6494,2273987967057920007B,0.209,3.531,4.937,1.27028,8.57978,9.35202,21.7198,23.89756,20.28175
NGC_6494,2273987966923702281,1.02835,3.7666,4.52,1.41933,8.57978,9.35202,15.4455,16.09626,14.62991
NGC_6494,2273987967057920011*,9999.0,9999.0,9999.0,1.1975,8.57978,9.35202,21.49188,23.76282,20.03656
NGC_6494,2273987967057920011A,0.21303,3.4792,5.003,1.1975,8.57978,9.35202,21.72516,23.89777,20.28806
NGC_6494,2273987967057920011B,0.158,3.506,4.277,1.1975,8.57978,9.35202,23.27605,26.09352,21.74788
NGC_6494,2273987966923702285,0.54953,3.5702,4.728,1.21444,8.57978,9.35202,19.13434,20.6433,17.86302
NGC_6494,2273987966923702286,0.43302,3.5328,4.839,1.42366,8.57978,9.35202,20.23012,22.03132,18.87309
NGC_6494,2273987967057920016*,9999.0,9999.0,9999.0,1.15506,8.57978,9.35202,21.27753,23.55665,19.82196
NGC_6494,2273987967057920016A,0.24023,3.4881,4.985,1.15506,8.57978,9.35202,22.04435,24.32875,20.5879
NGC_6494,2273987967057920016B,0.238,3.519,4.214,1.15506,8.57978,9.35202,22.01605,24.29005,20.56132
NGC_6494,2273987966923702290,0.5926,3.59,4.702,1.32183,8.57978,9.35202,18.8618,20.30129,17.61465
NGC_6494,2273987966923702291,0.68076,3.6358,4.67,1.39548,8.57978,9.35202,17.83589,18.97491,16.71443
NGC_6494,2273987966923702292,0.68772,3.6396,4.668,1.37922,8.57978,9.35202,17.88979,19.04502,16.76055
NGC_6494,2273987967057920022*,9999.0,9999.0,9999.0,1.20108,8.57978,9.35202,10.7611,10.94566,10.43307
NGC_6494,2273987967057920022A,2.62067,4.0056,3.954,1.20108,8.57978,9.35202,10.76696,10.94908,10.44307
NGC_6494,2273987967057920022B,0.834,3.695,4.609,1.20108,8.57978,9.35202,16.4324,17.20146,15.52796
NGC_6494,2273987967057920028*,9999.0,9999.0,9999.0,1.03844,8.57978,9.35202,18.03784,19.32082,16.84998
NGC_6494,2273987967057920028A,0.64604,3.6171,4.679,1.03844,8.57978,9.35202,18.20231,19.42719,17.04105
NGC_6494,2273987967057920028B,0.355,3.535,4.286,1.03844,8.57978,9.35202,20.16812,21.89587,18.83045
NGC_6494,2273987966923702302,0.48761,3.5484,4.782,1.20217,8.57978,9.35202,19.67344,21.31537,18.36015
NGC_6494,2273987967057920032*,9999.0,9999.0,9999.0,1.17021,8.57978,9.35202,15.51696,16.17108,14.69533
NGC_6494,2273987967057920032A,0.90135,3.7303,4.594,1.17021,8.57978,9.35202,15.55744,16.18951,14.75695
