#ClusterName #ID Mass LogTeff Logg Av "Log age" DistMod G sigG Bp sigBp Rp sigRp BP-RP MG BP-RP_0 BP-RP_0_lim allDeltas
NGC_6494 2273987967057923605A 0.66645 3.628 4.673 1.2106 8.57978 9.35202 17.56243 0.00086 18.60808 0.01112 16.48747 0.00332 2.1206100000000028 7.132975999999999 1.538213243243246 -0.055766598787442945 0.01849499461815096
NGC_6494 2273987966923707636 0.65147 3.6199 4.677 1.12963 8.57978 9.35202 17.35728 0.00081 18.34838 0.00879 16.31627 0.00292 2.0321099999999994 6.9998892999999995 1.4886663783783778 -0.055766598787442945 -0.003981433232801201
NGC_6494 2273987966923706379 0.75082 3.6744 4.661 1.45741 8.57978 9.35202 16.75092 0.00069 17.60337 0.00471 15.79108 0.00199 1.8122900000000026 6.101805100000001 1.1111576216216243 -0.055766598787442945 0.0473868207764383
NGC_6494 2273987967057931544* 9999.0 9999.0 9999.0 1.36157 8.57978 9.35202 16.82555 0.00059 17.83941 0.00568 15.76588 0.00196 2.0735300000000016 6.2617327000000005 1.4185044324324343 -0.055766598787442945 -0.5909282110377037
NGC_6494 2273987966923706463 1.3913 3.8395 4.304 1.11734 8.57978 9.35202 13.63629 0.00055 14.06108 0.00062 13.02553 0.00058 1.0355500000000006 3.289837400000001 0.4980188648648656 -0.055766598787442945 -0.02252563800799834
NGC_6494 2273987967057932404* 9999.0 9999.0 9999.0 1.3742 8.57978 9.35202 16.79575 0.00058 17.66019 0.00524 15.8262 0.00197 1.83399 6.220692000000002 1.1728883783783783 -0.055766598787442945 -0.023619726748545844
NGC_6494 2273987966923710320 0.93053 3.7393 4.578 1.24326 8.57978 9.35202 15.7889 0.0006 16.46527 0.00196 14.95647 0.00118 1.5088000000000008 5.3303786 0.910691135135136 -0.055766598787442945 -0.004993168157118255
NGC_6494 2273987967057925685* 9999.0 9999.0 9999.0 1.27296 8.57978 9.35202 16.83626 0.00059 17.71889 0.00514 15.85469 0.00209 1.8641999999999985 6.3513056 1.2518030270270255 -0.055766598787442945 -0.11261997325945661
NGC_6494 2273987967057932546* 9999.0 9999.0 9999.0 1.17292 8.57978 9.35202 16.12095 0.00052 16.8468 0.00256 15.24701 0.00141 1.5997900000000023 5.725031200000001 1.0355203783783806 -0.055766598787442945 -0.07640938171669376
NGC_6494 2273987967057929495* 9999.0 9999.0 9999.0 1.18231 8.57978 9.35202 15.91035 0.00051 16.5943 0.00221 15.06793 0.00124 1.52637 5.506074099999999 0.9575830270270271 -0.055766598787442945 -0.011859645467286128
NGC_6494 2273987966923709487 0.95777 3.7474 4.563 1.36118 8.57978 9.35202 15.46823 0.00058 16.11482 0.00156 14.65798 0.00101 1.4568400000000015 4.904759800000001 0.8020020540540556 -0.055766598787442945 0.033472618590768555
NGC_6494 2273987967057934558* 9999.0 9999.0 9999.0 1.31949 8.57978 9.35202 12.75841 0.00045 13.06615 0.00052 12.27202 0.00052 0.7941300000000009 2.2320439 0.15934832432432522 -0.055766598787442945 0.01953972508027091
NGC_6494 2273987967057924081* 9999.0 9999.0 9999.0 1.33443 8.57978 9.35202 14.07958 0.00046 14.5789 0.00073 13.39372 0.00063 1.1851800000000008 3.5399173000000004 0.5432109729729738 -0.055766598787442945 -0.004824115446855348
NGC_6494 2273987966923709646 1.60621 3.8905 4.282 1.36526 8.57978 9.35202 12.99914 0.00054 13.34979 0.00054 12.4666 0.00053 0.8831900000000008 2.432038600000001 0.22638924324324416 -0.055766598787442945 0.004185753727797614
NGC_6494 2273987966923707306 1.01572 3.7633 4.528 1.21472 8.57978 9.35202 15.21344 0.00057 15.80818 0.00129 14.44389 0.00091 1.3642900000000004 4.780319200000001 0.7799111891891897 -0.055766598787442945 0.011164231648283618
NGC_6494 2273987966923717175 0.84217 3.7099 4.621 1.34571 8.57978 9.35202 16.60278 0.00067 17.42584 0.00404 15.66497 0.00183 1.7608700000000006 6.0530781 1.113474378378379 -0.055766598787442945 -0.00874258414583462
NGC_6494 2273987967057920259* 9999.0 9999.0 9999.0 1.3952 8.57978 9.35202 14.89179 0.00047 15.47635 0.00107 14.12847 0.0008 1.34788 4.298042000000001 0.6766756756756757 -0.055766598787442945 0.041316036471545026
NGC_6494 2273987967057920191A 0.80069 3.6943 4.639 1.3481 8.57978 9.35202 16.31459 0.00064 17.08242 0.00309 15.41441 0.00155 1.6680099999999989 5.762760999999999 1.0194645945945935 -0.055766598787442945 0.01780460745318546
NGC_6494 2273987967057923182* 9999.0 9999.0 9999.0 1.23636 8.57978 9.35202 12.91752 0.00045 13.24762 0.00053 12.41135 0.00052 0.836269999999999 2.4651396 0.2414805945945936 -0.055766598787442945 0.004935278024259748
NGC_6494 2273987967057928354* 9999.0 9999.0 9999.0 1.15386 8.57978 9.35202 16.73957 0.00058 17.76242 0.00527 15.67541 0.00186 2.0870099999999994 6.360614600000001 1.5319097837837832 -0.055766598787442945 -0.7395279456331432
NGC_6494 2273987967057931997* 9999.0 9999.0 9999.0 1.20381 8.57978 9.35202 14.70534 0.00047 15.24636 0.00096 13.9837 0.00076 1.2626599999999986 4.2819291 0.6835297837837824 -0.055766598787442945 -0.010435701730323821
NGC_6494 2273987966923713751 0.65866 3.6238 4.675 1.29261 8.57978 9.35202 17.54924 0.00086 18.60655 0.01098 16.46976 0.00329 2.1367899999999977 7.046797100000001 1.5149397837837815 -0.055766598787442945 -0.015138374153233158
NGC_6494 2273987967057930863B 1.071 3.791 4.486 1.27135 8.57978 9.35202 14.95164 0.00057 15.52621 0.0011 14.20039 0.00082 1.3258200000000002 4.4681185 0.7141975675675678 -0.055766598787442945 0.018848143112172977
NGC_6494 2273987967057929580* 9999.0 9999.0 9999.0 1.33424 8.57978 9.35202 15.72466 0.0005 16.40528 0.00194 14.87972 0.00112 1.5255600000000005 5.1851664 0.8836823783783788 -0.055766598787442945 -0.04051443942965083
NGC_6494 2273987966923707347 0.96983 3.7508 4.556 1.37395 8.57978 9.35202 15.54578 0.00059 16.20334 0.00165 14.72476 0.00105 1.478580000000001 4.970944500000001 0.8175986486486496 -0.055766598787442945 0.029202237279251975
NGC_6494 2273987967057927459* 9999.0 9999.0 9999.0 1.02173 8.57978 9.35202 14.4589 0.00046 15.02632 0.00086 13.71262 0.00069 1.3137000000000008 4.1975403 0.8221650270270278 -0.055766598787442945 -0.7645737450828713
NGC_6494 2273987966923715523 0.81103 3.6982 4.635 1.40594 8.57978 9.35202 16.4316 0.00065 17.21937 0.00346 15.51403 0.00165 1.7053400000000014 5.8282934 1.0289688648648663 -0.055766598787442945 0.049783291682715
NGC_6494 2273987967057926175* 9999.0 9999.0 9999.0 1.15275 8.57978 9.35202 17.80536 0.00078 18.92052 0.01368 16.68514 0.00404 2.2353799999999993 7.427392500000001 1.680813783783783 -0.055766598787442945 -0.0022661911112900057
NGC_6494 2273987966923704540 1.19521 3.8029 4.409 1.09982 8.57978 9.35202 14.45256 0.00056 14.95134 0.00084 13.76883 0.0007 1.1825100000000006 4.1217002 0.6534074054054061 -0.055766598787442945 -0.01271449032061156
