#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
ASCC_21                  , 1891097903137624531 ,    0.89707,    3.63660,    4.29400,    0.33620,    6.94988,    8.01030,   14.43623,    0.00056,   15.27131,    0.00097,   13.48684,    0.00065 
ASCC_21                  , 1891097903271842261*, 9999.00000, 9999.00000, 9999.00000,    0.30168,    6.94988,    8.01030,   11.86724,    0.00045,   12.29857,    0.00048,   11.24304,    0.00047 
ASCC_21                  , 1891097903137624535 ,    0.29115,    3.48060,    4.06900,    0.31314,    6.94988,    8.01030,   17.49665,    0.00084,   19.39898,    0.02284,   16.10633,    0.00250 
ASCC_21                  , 1891097903137624536 ,    1.37569,    3.73280,    4.20000,    0.27605,    6.94988,    8.01030,   12.34693,    0.00054,   12.80689,    0.00050,   11.70225,    0.00049 
ASCC_21                  , 1891097903271842266*, 9999.00000, 9999.00000, 9999.00000,    0.27865,    6.94988,    8.01030,   16.13314,    0.00052,   17.70363,    0.00494,   14.84025,    0.00112 
ASCC_21                  , 1891097903271842269A,    0.39476,    3.50460,    4.10400,    0.35900,    6.94988,    8.01030,   16.90078,    0.00071,   18.63890,    0.01137,   15.55758,    0.00170 
ASCC_21                  , 1891097903271842269B,    0.20800,    3.51500,    4.29400,    0.35900,    6.94988,    8.01030,   18.44859,    0.00126,   20.69840,    0.07286,   16.99192,    0.00502 
ASCC_21                  , 1891097903271842272*, 9999.00000, 9999.00000, 9999.00000,    0.33043,    6.94988,    8.01030,   18.17839,    0.00092,   20.59017,    0.06104,   16.70553,    0.00398 
ASCC_21                  , 1891097903137624546 ,    0.19481,    3.45040,    4.03200,    0.35240,    6.94988,    8.01030,   18.28831,    0.00116,   20.47425,    0.05967,   16.85087,    0.00443 
ASCC_21                  , 1891097903271842276A,    2.93950,    4.09660,    4.35700,    0.33642,    6.94988,    8.01030,    9.18291,    0.00054,    9.17073,    0.00046,    9.15543,    0.00047 
ASCC_21                  , 1891097903271842276B,    0.38200,    3.54500,    4.73000,    0.33642,    6.94988,    8.01030,   16.81561,    0.00070,   18.53276,    0.01031,   15.48330,    0.00162 
ASCC_21                  , 1891097903137624550 ,    0.33626,    3.49210,    4.08600,    0.29404,    6.94988,    8.01030,   17.05866,    0.00074,   18.84265,    0.01352,   15.71176,    0.00188 
ASCC_21                  , 1891097903137624551 ,    0.10804,    3.40870,    3.98300,    0.31685,    6.94988,    8.01030,   19.46168,    0.00236,   22.08327,    0.25813,   17.93927,    0.01137 
ASCC_21                  , 1891097903137624552 ,    0.13926,    3.42500,    4.00300,    0.25832,    6.94988,    8.01030,   19.28741,    0.00210,   22.09157,    0.20585,   17.79554,    0.00987 
ASCC_21                  , 1891097903137624553 ,    0.14093,    3.42590,    4.00400,    0.30119,    6.94988,    8.01030,   19.23621,    0.00203,   21.67221,    0.19476,   17.74816,    0.00948 
ASCC_21                  , 1891097903271842283*, 9999.00000, 9999.00000, 9999.00000,    0.29491,    6.94988,    8.01030,   14.40006,    0.00046,   15.31875,    0.00097,   13.39134,    0.00064 
ASCC_21                  , 1891097903137624557 ,    0.19674,    3.45110,    4.03200,    0.32989,    6.94988,    8.01030,   18.29710,    0.00117,   20.52062,    0.06019,   16.85480,    0.00446 
ASCC_21                  , 1891097903271842287*, 9999.00000, 9999.00000, 9999.00000,    0.29039,    6.94988,    8.01030,   13.39601,    0.00045,   14.06766,    0.00062,   12.55733,    0.00054 
ASCC_21                  , 1891097903271842290*, 9999.00000, 9999.00000, 9999.00000,    0.34245,    6.94988,    8.01030,   18.35020,    0.00100,   20.98262,    0.09653,   16.85115,    0.00441 
ASCC_21                  , 1891097903271842293*, 9999.00000, 9999.00000, 9999.00000,    0.31836,    6.94988,    8.01030,   16.71240,    0.00057,   18.58087,    0.00959,   15.33750,    0.00151 
ASCC_21                  , 1891097903271842296*, 9999.00000, 9999.00000, 9999.00000,    0.22911,    6.94988,    8.01030,   18.50185,    0.00108,   21.08225,    0.07701,   17.00961,    0.00524 
ASCC_21                  , 1891097903271842299*, 9999.00000, 9999.00000, 9999.00000,    0.33227,    6.94988,    8.01030,   18.67178,    0.00119,   21.33922,    0.08644,   17.16059,    0.00608 
ASCC_21                  , 1891097903271842302*, 9999.00000, 9999.00000, 9999.00000,    0.32756,    6.94988,    8.01030,   16.07281,    0.00052,   17.67879,    0.00474,   14.76865,    0.00108 
ASCC_21                  , 1891097903137624576 ,    0.18549,    3.44700,    4.02700,    0.31336,    6.94988,    8.01030,   18.68961,    0.00144,   20.96369,    0.09805,   17.22722,    0.00607 
ASCC_21                  , 1891097903137624577 ,    0.29978,    3.48300,    4.07200,    0.33455,    6.94988,    8.01030,   17.57913,    0.00087,   19.51388,    0.02527,   16.18374,    0.00264 
ASCC_21                  , 1891097903271842307A,    2.70723,    4.07220,    4.36200,    0.30677,    6.94988,    8.01030,    9.30971,    0.00054,    9.29778,    0.00046,    9.28255,    0.00047 
ASCC_21                  , 1891097903271842307B,    1.22100,    3.79600,    4.39400,    0.30677,    6.94988,    8.01030,   12.98446,    0.00054,   13.53188,    0.00056,   12.25597,    0.00051 
ASCC_21                  , 1891097903137624581 ,    2.16237,    4.00200,    4.36200,    0.29971,    6.94988,    8.01030,    9.84739,    0.00054,    9.85897,    0.00046,    9.78373,    0.00047 
ASCC_21                  , 1891097903137624582 ,    0.33223,    3.49110,    4.08500,    0.30373,    6.94988,    8.01030,   17.03966,    0.00074,   18.81445,    0.01323,   15.69344,    0.00185 
ASCC_21                  , 1891097903137624583 ,    0.10977,    3.40980,    3.98400,    0.34309,    6.94988,    8.01030,   19.49549,    0.00243,   21.79823,    0.27107,   17.99525,    0.01177 
ASCC_21                  , 1891097903137624584 ,    0.24800,    3.46820,    4.05400,    0.32360,    6.94988,    8.01030,   17.94009,    0.00100,   20.05151,    0.03899,   16.52596,    0.00342 
ASCC_21                  , 1891097903137624585 ,    0.47223,    3.51970,    4.13000,    0.30177,    6.94988,    8.01030,   16.42961,    0.00065,   18.02431,    0.00667,   15.13568,    0.00131 
ASCC_21                  , 1891097903137624586 ,    0.09831,    3.40280,    3.97500,    0.31853,    6.94988,    8.01030,   19.31649,    0.00214,   21.90076,    0.22335,   17.82857,    0.01006 
ASCC_21                  , 1891097903137624587 ,    0.18518,    3.44690,    4.02700,    0.23459,    6.94988,    8.01030,   18.63723,    0.00140,   21.24074,    0.09101,   17.17556,    0.00583 
ASCC_21                  , 1891097903137624588 ,    0.43157,    3.51190,    4.11600,    0.30979,    6.94988,    8.01030,   16.72011,    0.00069,   18.37776,    0.00923,   15.39480,    0.00153 
ASCC_21                  , 1891097903137624589 ,    0.12018,    3.41550,    3.99100,    0.31584,    6.94988,    8.01030,   19.64069,    0.00268,   22.11001,    0.30951,   18.13666,    0.01326 
ASCC_21                  , 1891097903137624590 ,    0.23775,    3.46520,    4.05000,    0.28736,    6.94988,    8.01030,   17.82400,    0.00095,   19.87051,    0.03372,   16.41011,    0.00315 
ASCC_21                  , 1891097903137624591 ,    0.19149,    3.44920,    4.03000,    0.29188,    6.94988,    8.01030,   18.20759,    0.00112,   20.37569,    0.05391,   16.77651,    0.00418 
ASCC_21                  , 1891097903137624592 ,    0.27509,    3.47620,    4.06400,    0.34352,    6.94988,    8.01030,   17.80846,    0.00094,   19.81879,    0.03328,   16.40247,    0.00311 
ASCC_21                  , 1891097903137624593 ,    0.11210,    3.41110,    3.98600,    0.31044,    6.94988,    8.01030,   19.51406,    0.00246,   21.94331,    0.27280,   18.01305,    0.01193 
ASCC_21                  , 1891097903137624594 ,    0.09935,    3.40350,    3.97600,    0.31856,    6.94988,    8.01030,   19.33222,    0.00216,   22.08148,    0.22687,   17.82939,    0.01019 
ASCC_21                  , 1891097903137624595 ,    0.11757,    3.41400,    3.98900,    0.27315,    6.94988,    8.01030,   19.56759,    0.00256,   22.24998,    0.28670,   18.06776,    0.01256 
ASCC_21                  , 1891097903271842325*, 9999.00000, 9999.00000, 9999.00000,    0.28348,    6.94988,    8.01030,   15.70464,    0.00050,   17.21377,    0.00335,   14.43408,    0.00091 
ASCC_21                  , 1891097903137624599 ,    0.48382,    3.52190,    4.13400,    0.28285,    6.94988,    8.01030,   16.47109,    0.00066,   18.07390,    0.00697,   15.16990,    0.00133 
ASCC_21                  , 1891097903271842329*, 9999.00000, 9999.00000, 9999.00000,    0.28049,    6.94988,    8.01030,   18.36065,    0.00101,   20.89433,    0.09562,   16.87273,    0.00445 
ASCC_21                  , 1891097903137624603 ,    0.43311,    3.51220,    4.11700,    0.31015,    6.94988,    8.01030,   16.72854,    0.00069,   18.42120,    0.00932,   15.40399,    0.00154 
