#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
Alessi_21                , 1882531157074166798 ,    1.71899,    3.91880,    4.33300,    0.90015,    7.82020,   11.02060,   14.11578,    0.00055,   14.32496,    0.00067,   13.75724,    0.00070 
Alessi_21                , 1882531157074166799 ,    0.71420,    3.66640,    4.61800,    1.17961,    7.82020,   11.02060,   18.57078,    0.00135,   19.44024,    0.02330,   17.60109,    0.00835 
Alessi_21                , 1882531157074166800 ,    1.07906,    3.77630,    4.50100,    0.96697,    7.82020,   11.02060,   16.46538,    0.00066,   16.98484,    0.00286,   15.77119,    0.00196 
Alessi_21                , 1882531157208384530*, 9999.00000, 9999.00000, 9999.00000,    0.98493,    7.82020,   11.02060,   20.42855,    0.00415,   22.41305,    0.22972,   19.12177,    0.03342 
Alessi_21                , 1882531157208384533*, 9999.00000, 9999.00000, 9999.00000,    0.92349,    7.82020,   11.02060,   17.75495,    0.00077,   18.44863,    0.01003,   16.89689,    0.00453 
Alessi_21                , 1882531157208384536*, 9999.00000, 9999.00000, 9999.00000,    1.00643,    7.82020,   11.02060,   20.31669,    0.00381,   21.95195,    0.21994,   19.01744,    0.02984 
Alessi_21                , 1882531157208384539A,    1.87335,    3.95080,    4.34100,    0.75358,    7.82020,   11.02060,   13.69971,    0.00055,   13.83647,    0.00059,   13.43678,    0.00064 
Alessi_21                , 1882531157208384539B,    0.83300,    3.66900,    4.60200,    0.75358,    7.82020,   11.02060,   17.80447,    0.00094,   18.48290,    0.00983,   16.98006,    0.00493 
Alessi_21                , 1882531157208384542*, 9999.00000, 9999.00000, 9999.00000,    0.97283,    7.82020,   11.02060,   16.57859,    0.00056,   17.15673,    0.00331,   15.82054,    0.00202 
Alessi_21                , 1882531157074166816 ,    0.69249,    3.65400,    4.60000,    0.90266,    7.82020,   11.02060,   18.56897,    0.00135,   19.46529,    0.02335,   17.59685,    0.00829 
Alessi_21                , 1882531157208384546*, 9999.00000, 9999.00000, 9999.00000,    1.00097,    7.82020,   11.02060,   14.13430,    0.00046,   14.35247,    0.00067,   13.76218,    0.00070 
Alessi_21                , 1882531157074166820 ,    0.99641,    3.75720,    4.55200,    0.95093,    7.82020,   11.02060,   16.93832,    0.00072,   17.50343,    0.00433,   16.19649,    0.00266 
Alessi_21                , 1882531157074166821 ,    5.79407,    4.19440,    3.64200,    1.01771,    7.82020,   11.02060,    9.83472,    0.00054,    9.92650,    0.00046,    9.64185,    0.00046 
Alessi_21                , 1882531157074166831 ,    1.11392,    3.78440,    4.47800,    0.73919,    7.82020,   11.02060,   15.99666,    0.00061,   16.42854,    0.00192,   15.37622,    0.00151 
Alessi_21                , 1882531157074166832 ,    0.46359,    3.52770,    4.63800,    0.83325,    7.82020,   11.02060,   20.93313,    0.00758,   22.59069,    0.41447,   19.62578,    0.05069 
Alessi_21                , 1882531157208384562*, 9999.00000, 9999.00000, 9999.00000,    0.86942,    7.82020,   11.02060,   17.07359,    0.00062,   17.65805,    0.00496,   16.31446,    0.00289 
Alessi_21                , 1882531157074166836 ,    1.05572,    3.77120,    4.51700,    1.03639,    7.82020,   11.02060,   16.40901,    0.00065,   16.92746,    0.00275,   15.70886,    0.00188 
Alessi_21                , 1882531157074166837 ,    1.00654,    3.75970,    4.54600,    0.93575,    7.82020,   11.02060,   16.57535,    0.00067,   17.10196,    0.00313,   15.86474,    0.00210 
Alessi_21                , 1882531157074166841 ,    0.73198,    3.67540,    4.63700,    0.86502,    7.82020,   11.02060,   18.42852,    0.00125,   19.25927,    0.01981,   17.48639,    0.00756 
Alessi_21                , 1882531157074166845 ,    1.19206,    3.80120,    4.42600,    0.86287,    7.82020,   11.02060,   15.95250,    0.00061,   16.39967,    0.00188,   15.32187,    0.00146 
Alessi_21                , 1882531157208384575*, 9999.00000, 9999.00000, 9999.00000,    0.74424,    7.82020,   11.02060,   13.26182,    0.00045,   13.36041,    0.00054,   13.05852,    0.00058 
Alessi_21                , 1882531157074166849 ,    0.49853,    3.53520,    4.62900,    0.83825,    7.82020,   11.02060,   20.82174,    0.00693,   22.53643,    0.36636,   19.53425,    0.04643 
Alessi_21                , 1882531157208384579*, 9999.00000, 9999.00000, 9999.00000,    0.72062,    7.82020,   11.02060,   17.77071,    0.00077,   18.43410,    0.01008,   16.93535,    0.00461 
Alessi_21                , 1882531157208384582A,    0.93620,    3.74040,    4.58500,    0.84127,    7.82020,   11.02060,   17.08766,    0.00075,   17.66147,    0.00492,   16.33806,    0.00296 
Alessi_21                , 1882531157208384582B,    0.65000,    3.62600,    4.66900,    0.84127,    7.82020,   11.02060,   19.04230,    0.00179,   20.05099,    0.04205,   17.96665,    0.01152 
Alessi_21                , 1882531157074166856 ,    4.55562,    4.19290,    4.09000,    1.01721,    7.82020,   11.02060,   11.23003,    0.00054,   11.32218,    0.00046,   11.03889,    0.00047 
Alessi_21                , 1882531157208384586*, 9999.00000, 9999.00000, 9999.00000,    0.92525,    7.82020,   11.02060,   20.34175,    0.00387,   21.91331,    0.21322,   19.03652,    0.03082 
