#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,         Bp,         Rp
Alessi_21                , 1882531157074099812 ,    0.44454,    3.52320,    4.64500,    0.57673,    7.82020,    9.51545,   19.57391,   21.23720,   18.25436 
Alessi_21                , 1882531157074099813 ,    0.34667,    3.50420,    4.65600,    0.57154,    7.82020,    9.51545,   19.99732,   21.77475,   18.64641 
Alessi_21                , 1882531157074099814 ,    0.27242,    3.48890,    4.64900,    0.55154,    7.82020,    9.51545,   20.45058,   22.36368,   19.06650 
Alessi_21                , 1882531157074099815 ,    1.71899,    3.91880,    4.33300,    0.50194,    7.82020,    9.51545,   12.25001,   12.37988,   11.99959 
Alessi_21                , 1882531157074099816 ,    0.71420,    3.66640,    4.61800,    0.65777,    7.82020,    9.51545,   16.65729,   17.39764,   15.77341 
Alessi_21                , 1882531157074099817 ,    1.07906,    3.77630,    4.50100,    0.53920,    7.82020,    9.51545,   14.60043,   15.01880,   13.99619 
Alessi_21                , 1882531157208317547*, 9999.00000, 9999.00000, 9999.00000,    0.54921,    7.82020,    9.51545,   18.63279,   20.24328,   17.32895 
Alessi_21                , 1882531157208317547A,    0.41974,    3.51820,    4.65000,    0.54921,    7.82020,    9.51545,   19.39736,   21.01100,   18.09257 
Alessi_21                , 1882531157208317547B,    0.41600,    3.56100,    4.84400,    0.54921,    7.82020,    9.51545,   19.37350,   20.98092,   18.07060 
Alessi_21                , 1882531157208317550*, 9999.00000, 9999.00000, 9999.00000,    0.51495,    7.82020,    9.51545,   15.91995,   16.51711,   15.14519 
Alessi_21                , 1882531157208317550A,    0.80685,    3.70060,    4.64000,    0.51495,    7.82020,    9.51545,   15.94155,   16.52405,   15.18258 
Alessi_21                , 1882531157208317550B,    0.33000,    3.53500,    4.51700,    0.51495,    7.82020,    9.51545,   20.18357,   22.00595,   18.82119 
Alessi_21                , 1882531157208317553*, 9999.00000, 9999.00000, 9999.00000,    0.56120,    7.82020,    9.51545,   18.51442,   19.98542,   17.25473 
Alessi_21                , 1882531157208317553A,    0.52170,    3.54150,    4.62300,    0.56120,    7.82020,    9.51545,   18.65347,   20.06542,   17.41636 
Alessi_21                , 1882531157208317553B,    0.21700,    3.54100,    4.96000,    0.56120,    7.82020,    9.51545,   20.81456,   22.85675,   19.40254 
Alessi_21                , 1882531157074099827 ,    0.22768,    3.47690,    4.64200,    0.46784,    7.82020,    9.51545,   20.86429,   22.91697,   19.45014 
