#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,         Bp,         Rp
Ruprecht_147             , 1747095994824241797 ,    0.41134,    3.52520,    4.84400,    0.81157,    9.48001,   10.00000,   20.27209,   21.86733,   18.97293 
Ruprecht_147             , 1747095994958459527*, 9999.00000, 9999.00000, 9999.00000,    0.88801,    9.48001,   10.00000,   19.76866,   21.43017,   18.44963 
Ruprecht_147             , 1747095994958459527A,    0.43440,    3.53080,    4.82100,    0.88801,    9.48001,   10.00000,   20.52742,   22.19032,   19.20800 
Ruprecht_147             , 1747095994958459527B,    0.43300,    3.58200,    4.85000,    0.88801,    9.48001,   10.00000,   20.51508,   22.17523,   19.19645 
Ruprecht_147             , 1747095994958459530*, 9999.00000, 9999.00000, 9999.00000,    0.83262,    9.48001,   10.00000,   16.57952,   17.24443,   15.75087 
Ruprecht_147             , 1747095994958459530A,    0.83217,    3.71040,    4.59500,    0.83262,    9.48001,   10.00000,   16.59481,   17.24972,   15.77593 
Ruprecht_147             , 1747095994958459530B,    0.34300,    3.53500,    4.39400,    0.83262,    9.48001,   10.00000,   21.21515,   23.02696,   19.85543 
Ruprecht_147             , 1747095994958459533*, 9999.00000, 9999.00000, 9999.00000,    0.85403,    9.48001,   10.00000,   22.94624,   25.54810,   21.44285 
Ruprecht_147             , 1747095994958459533A,    0.19582,    3.47340,    5.03400,    0.85403,    9.48001,   10.00000,   23.31629,   25.80442,   21.82895 
Ruprecht_147             , 1747095994958459533B,    0.13100,    3.49900,    4.22500,    0.85403,    9.48001,   10.00000,   24.29467,   27.24110,   22.75275 
Ruprecht_147             , 1747095994824241807 ,    0.41947,    3.52720,    4.83600,    0.83423,    9.48001,   10.00000,   20.35934,   21.97707,   19.05331 
Ruprecht_147             , 1747095994824241808 ,    0.62531,    3.60540,    4.66500,    0.90397,    9.48001,   10.00000,   18.40094,   19.50732,   17.29552 
Ruprecht_147             , 1747095994958459538*, 9999.00000, 9999.00000, 9999.00000,    0.75969,    9.48001,   10.00000,   20.81455,   22.59133,   19.46278 
Ruprecht_147             , 1747095994958459538A,    0.38770,    3.51970,    4.86500,    0.75969,    9.48001,   10.00000,   20.89469,   22.62665,   19.55587 
Ruprecht_147             , 1747095994958459538B,    0.14500,    3.50400,    4.91700,    0.75969,    9.48001,   10.00000,   23.68396,   26.32836,   22.17606 
Ruprecht_147             , 1747095994824241812 ,    0.88964,    3.73160,    4.56000,    0.88941,    9.48001,   10.00000,   16.14874,   16.74638,   15.37686 
Ruprecht_147             , 1747095994824241813 ,    0.69798,    3.64660,    4.64400,    1.04658,    9.48001,   10.00000,   18.29318,   19.37590,   17.19972 
Ruprecht_147             , 1747095994824241817 ,    0.43354,    3.53060,    4.82200,    0.76786,    9.48001,   10.00000,   20.43835,   22.06377,   19.12999 
Ruprecht_147             , 1747095994958459547*, 9999.00000, 9999.00000, 9999.00000,    0.83627,    9.48001,   10.00000,   21.20378,   23.13856,   19.81397 
Ruprecht_147             , 1747095994958459547A,    0.26464,    3.49480,    4.97500,    0.83627,    9.48001,   10.00000,   21.41770,   23.27455,   20.04685 
Ruprecht_147             , 1747095994958459547B,    0.18300,    3.51000,    4.21100,    0.83627,    9.48001,   10.00000,   23.07268,   25.46138,   21.59977 
Ruprecht_147             , 1747095994958459550*, 9999.00000, 9999.00000, 9999.00000,    0.63545,    9.48001,   10.00000,   20.92857,   22.76405,   19.56215 
Ruprecht_147             , 1747095994958459550A,    0.34906,    3.51110,    4.89500,    0.63545,    9.48001,   10.00000,   21.13776,   22.89946,   19.79096 
Ruprecht_147             , 1747095994958459550B,    0.17600,    3.50900,    4.21900,    0.63545,    9.48001,   10.00000,   22.81949,   25.09121,   21.36514 
Ruprecht_147             , 1747095994958459553*, 9999.00000, 9999.00000, 9999.00000,    0.98894,    9.48001,   10.00000,   14.54037,   15.05246,   13.84403 
