#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
Ruprecht_147             , 1747095994824194073 ,    0.21705,    3.48090,    5.01500,    0.59096,    9.48001,    8.01030,   20.06797,    0.00372,   22.22231,    0.25511,   18.70637,    0.02145 
Ruprecht_147             , 1747095994824194074 ,    0.29763,    3.50150,    4.94700,    0.53027,    9.48001,    8.01030,   19.54224,    0.00250,   21.60109,    0.13608,   18.19240,    0.01383 
Ruprecht_147             , 1747095994824194075 ,    0.23429,    3.48660,    5.00100,    0.58564,    9.48001,    8.01030,   20.29290,    0.00446,   22.07996,    0.33705,   18.89966,    0.02591 
Ruprecht_147             , 1747095994824194076 ,    0.17979,    3.46590,    5.05200,    0.56514,    9.48001,    8.01030,   20.85215,    0.00709,   23.41244,    0.68198,   19.41474,    0.04162 
Ruprecht_147             , 1747095994824194077 ,    0.41134,    3.52520,    4.84400,    0.51432,    9.48001,    8.01030,   18.07772,    0.00106,   19.54889,    0.02657,   16.80392,    0.00429 
Ruprecht_147             , 1747095994824194078 ,    0.22557,    3.48370,    5.00800,    0.55250,    9.48001,    8.01030,   20.15412,    0.00399,   21.98066,    0.28363,   18.76618,    0.02311 
Ruprecht_147             , 1747095994958411808*, 9999.00000, 9999.00000, 9999.00000,    0.56276,    9.48001,    8.01030,   17.55811,    0.00072,   19.11003,    0.01283,   16.26293,    0.00311 
Ruprecht_147             , 1747095994958411811A,    0.83217,    3.71040,    4.59500,    0.52766,    9.48001,    8.01030,   14.35691,    0.00055,   14.93980,    0.00084,   13.59708,    0.00067 
Ruprecht_147             , 1747095994958411811B,    0.34300,    3.53500,    4.39400,    0.52766,    9.48001,    8.01030,   19.02349,    0.00176,   20.63723,    0.07597,   17.67248,    0.00900 
Ruprecht_147             , 1747095994824194085 ,    0.29468,    3.50090,    4.94900,    0.51184,    9.48001,    8.01030,   19.50238,    0.00243,   21.14868,    0.12966,   18.12526,    0.01338 
Ruprecht_147             , 1747095994824194086 ,    0.22499,    3.48350,    5.00900,    0.51584,    9.48001,    8.01030,   20.12365,    0.00390,   22.17094,    0.27198,   18.73101,    0.02253 
Ruprecht_147             , 1747095994958411816*, 9999.00000, 9999.00000, 9999.00000,    0.54123,    9.48001,    8.01030,   20.76258,    0.00548,   23.33249,    0.44564,   19.24661,    0.04102 
