#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
UPK_53                   , 2243063188780341888 ,    1.15668,    3.79550,    4.43100,    0.13950,    8.65992,   10.00000,   14.23055,    0.00055,   14.51718,    0.00071,   13.77259,    0.00070 
UPK_53                   , 2243063188914559618*, 9999.00000, 9999.00000, 9999.00000,    0.18281,    8.65992,   10.00000,   13.16534,    0.00045,   13.36327,    0.00054,   12.81922,    0.00056 
UPK_53                   , 2243063188914559621A,    0.87334,    3.72090,    4.60500,    0.11764,    8.65992,   10.00000,   15.77286,    0.00060,   16.22496,    0.00167,   15.13570,    0.00131 
UPK_53                   , 2243063188914559621B,    0.45800,    3.57100,    4.81100,    0.11764,    8.65992,   10.00000,   19.44720,    0.00234,   20.69773,    0.07679,   18.26363,    0.01479 
UPK_53                   , 2243063188914559627*, 9999.00000, 9999.00000, 9999.00000,    0.16040,    8.65992,   10.00000,   20.65952,    0.00499,   21.82896,    0.33161,   19.35295,    0.03890 
UPK_53                   , 2243063188780341901 ,    1.83457,    3.93120,    4.23400,    0.12908,    8.65992,   10.00000,   12.02255,    0.00054,   12.06640,    0.00048,   11.90281,    0.00050 
UPK_53                   , 2243063188780341902 ,    0.37984,    3.52000,    4.89400,    0.12561,    8.65992,   10.00000,   20.42561,    0.00495,   21.90346,    0.22742,   19.17960,    0.03327 
UPK_53                   , 2243063188914559635*, 9999.00000, 9999.00000, 9999.00000,    0.14712,    8.65992,   10.00000,   11.87445,    0.00045,   11.93035,    0.00047,   11.73228,    0.00049 
UPK_53                   , 2243063188914559641*, 9999.00000, 9999.00000, 9999.00000,    0.10923,    8.65992,   10.00000,   13.54746,    0.00045,   13.77396,    0.00058,   13.16453,    0.00060 
UPK_53                   , 2243063188780341915 ,    0.56629,    3.57760,    4.71700,    0.15841,    8.65992,   10.00000,   18.40561,    0.00124,   19.46970,    0.02357,   17.33042,    0.00664 
UPK_53                   , 2243063188780341916 ,    0.58651,    3.58690,    4.70400,    0.16308,    8.65992,   10.00000,   18.61686,    0.00138,   19.72588,    0.02998,   17.51415,    0.00775 
