#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,         Bp,         Rp
UPK_53                   , 2243063188780243957 ,    0.10327,    3.39980,    5.10200,    0.09156,    8.65992,    5.00000,   19.31037,   22.22414,   17.77184 
UPK_53                   , 2243063188780243958 ,    0.27050,    3.49620,    4.97600,    0.08216,    8.65992,    5.00000,   16.38890,   18.12181,   15.04981 
UPK_53                   , 2243063188780243959 ,    0.14820,    3.44880,    5.06100,    0.09074,    8.65992,    5.00000,   18.12445,   20.49424,   16.65442 
UPK_53                   , 2243063188780243960 ,    0.23402,    3.48670,    5.00100,    0.08756,    8.65992,    5.00000,   17.16033,   19.14522,   15.76030 
UPK_53                   , 2243063188780243961 ,    1.15668,    3.79550,    4.43100,    0.07969,    8.65992,    5.00000,    9.17848,    9.45309,    8.73545 
UPK_53                   , 2243063188914461691*, 9999.00000, 9999.00000, 9999.00000,    0.10443,    8.65992,    5.00000,    8.09421,    8.27698,    7.76868 
UPK_53                   , 2243063188914461691A,    1.41071,    3.84340,    4.29100,    0.10443,    8.65992,    5.00000,    8.09610,    8.27758,    7.77306 
UPK_53                   , 2243063188914461691B,    0.43400,    3.56200,    4.82500,    0.10443,    8.65992,    5.00000,   14.99557,   16.41208,   13.75679 
UPK_53                   , 2243063188780243965 ,    0.13196,    3.43610,    5.07700,    0.09453,    8.65992,    5.00000,   18.73584,   21.38549,   17.22728 
UPK_53                   , 2243063188780243966 ,    0.21469,    3.48010,    5.01300,    0.09872,    8.65992,    5.00000,   16.90596,   18.80243,   15.52572 
UPK_53                   , 2243063188914461696*, 9999.00000, 9999.00000, 9999.00000,    0.06720,    8.65992,    5.00000,   10.69480,   11.15474,   10.04418 
UPK_53                   , 2243063188914461696A,    0.87334,    3.72090,    4.60500,    0.06720,    8.65992,    5.00000,   10.73080,   11.17133,   10.10397 
UPK_53                   , 2243063188914461696B,    0.45800,    3.57100,    4.81100,    0.06720,    8.65992,    5.00000,   14.41127,   15.70232,   13.22157 
UPK_53                   , 2243063188914461699*, 9999.00000, 9999.00000, 9999.00000,    0.08999,    8.65992,    5.00000,   17.89492,   20.50529,   16.39039 
UPK_53                   , 2243063188914461699A,    0.12064,    3.42560,    5.09100,    0.08999,    8.65992,    5.00000,   18.36024,   20.83444,   16.87485 
UPK_53                   , 2243063188914461699B,    0.07700,    3.22600,    5.36000,    0.08999,    8.65992,    5.00000,   19.03921,   21.96154,   17.49979 
UPK_53                   , 2243063188780243973 ,    0.17029,    3.46120,    5.04400,    0.09597,    8.65992,    5.00000,   17.35027,   19.40753,   15.93521 
UPK_53                   , 2243063188914461703*, 9999.00000, 9999.00000, 9999.00000,    0.09162,    8.65992,    5.00000,   15.60735,   17.22343,   14.30048 
UPK_53                   , 2243063188914461703A,    0.31621,    3.50610,    4.94600,    0.09162,    8.65992,    5.00000,   15.69586,   17.26248,   14.40569 
UPK_53                   , 2243063188914461703B,    0.12100,    3.49500,    4.56700,    0.09162,    8.65992,    5.00000,   18.37305,   20.85321,   16.88683 
UPK_53                   , 2243063188780243977 ,    0.09977,    3.39440,    5.10300,    0.08356,    8.65992,    5.00000,   19.68820,   22.60823,   18.14902 
UPK_53                   , 2243063188780243978 ,    0.13195,    3.43600,    5.07700,    0.08552,    8.65992,    5.00000,   18.73000,   21.37633,   17.22185 
UPK_53                   , 2243063188780243979 ,    0.13251,    3.43660,    5.07600,    0.08253,    8.65992,    5.00000,   18.74668,   21.40077,   17.23758 
UPK_53                   , 2243063188780243980 ,    0.09850,    3.39200,    5.10200,    0.07249,    8.65992,    5.00000,   19.64532,   22.56138,   18.10655 
UPK_53                   , 2243063188780243981 ,    0.14483,    3.44660,    5.06400,    0.08362,    8.65992,    5.00000,   18.04000,   20.37258,   16.57577 
UPK_53                   , 2243063188780243982 ,    0.22163,    3.48240,    5.00900,    0.07871,    8.65992,    5.00000,   16.98708,   18.91015,   15.60072 
UPK_53                   , 2243063188780243983 ,    1.83457,    3.93120,    4.23400,    0.07373,    8.65992,    5.00000,    6.97001,    7.00409,    6.86762 
UPK_53                   , 2243063188780243984 ,    0.20708,    3.47750,    5.01800,    0.09087,    8.65992,    5.00000,   16.79721,   18.65544,   15.42604 
UPK_53                   , 2243063188780243985 ,    0.37984,    3.52000,    4.89400,    0.07175,    8.65992,    5.00000,   15.38835,   16.88334,   14.12176 
UPK_53                   , 2243063188780243986 ,    0.23171,    3.48590,    5.00200,    0.06842,    8.65992,    5.00000,   17.11678,   19.08460,   15.72045 
UPK_53                   , 2243063188780243987 ,    0.16284,    3.45780,    5.04900,    0.07824,    8.65992,    5.00000,   17.20734,   19.20915,   15.80372 
UPK_53                   , 2243063188780243988 ,    0.09873,    3.39240,    5.10200,    0.09707,    8.65992,    5.00000,   19.66631,   22.59118,   18.12663 
UPK_53                   , 2243063188914461718*, 9999.00000, 9999.00000, 9999.00000,    0.08833,    8.65992,    5.00000,   18.33669,   21.25430,   16.79777 
UPK_53                   , 2243063188914461718A,    0.10239,    3.39840,    5.10300,    0.08833,    8.65992,    5.00000,   19.28492,   22.19678,   17.74659 
UPK_53                   , 2243063188914461718B,    0.07300,    3.20400,    5.36000,    0.08833,    8.65992,    5.00000,   18.92355,   21.84529,   17.38419 
UPK_53                   , 2243063188914461721*, 9999.00000, 9999.00000, 9999.00000,    0.08403,    8.65992,    5.00000,    6.81463,    6.85839,    6.69230 
UPK_53                   , 2243063188914461721A,    1.86949,    3.93620,    4.22500,    0.08403,    8.65992,    5.00000,    6.88182,    6.90916,    6.79056 
UPK_53                   , 2243063188914461721B,    1.02600,    3.76300,    4.51400,    0.08403,    8.65992,    5.00000,    9.86912,   10.20909,    9.34946 
UPK_53                   , 2243063188780243995 ,    0.12239,    3.42720,    5.08900,    0.08393,    8.65992,    5.00000,   18.41432,   20.91299,   16.92551 
UPK_53                   , 2243063188914461725*, 9999.00000, 9999.00000, 9999.00000,    0.08211,    8.65992,    5.00000,   17.16185,   19.39414,   15.71357 
UPK_53                   , 2243063188914461725A,    0.18138,    3.46640,    5.03600,    0.08211,    8.65992,    5.00000,   17.53628,   19.66405,   16.10747 
UPK_53                   , 2243063188914461725B,    0.12500,    3.49400,    4.92000,    0.08211,    8.65992,    5.00000,   18.49959,   21.03758,   17.00542 
UPK_53                   , 2243063188914461728*, 9999.00000, 9999.00000, 9999.00000,    0.06239,    8.65992,    5.00000,    8.50578,    8.72301,    8.13456 
UPK_53                   , 2243063188914461728A,    1.33290,    3.82860,    4.32400,    0.06239,    8.65992,    5.00000,    8.50702,    8.72335,    8.13749 
UPK_53                   , 2243063188914461728B,    0.33700,    3.56100,    4.91500,    0.06239,    8.65992,    5.00000,   15.86074,   17.46217,   14.55968 
UPK_53                   , 2243063188780244002 ,    0.56629,    3.57760,    4.71700,    0.09049,    8.65992,    5.00000,   13.35623,   14.38440,   12.29147 
UPK_53                   , 2243063188780244003 ,    0.58651,    3.58690,    4.70400,    0.09315,    8.65992,    5.00000,   13.56485,   14.64907,   12.47063 
UPK_53                   , 2243063188780244004 ,    0.40541,    3.52580,    4.86900,    0.09039,    8.65992,    5.00000,   14.72701,   16.08754,   13.50938 
UPK_53                   , 2243063188914461734*, 9999.00000, 9999.00000, 9999.00000,    0.08105,    8.65992,    5.00000,   14.69674,   16.20630,   13.42522 
UPK_53                   , 2243063188914461734A,    0.38671,    3.52150,    4.88700,    0.08105,    8.65992,    5.00000,   15.45709,   16.96836,   14.18501 
UPK_53                   , 2243063188914461734B,    0.38500,    3.54600,    4.82900,    0.08105,    8.65992,    5.00000,   15.44159,   16.94947,   14.17064 
UPK_53                   , 2243063188914461737*, 9999.00000, 9999.00000, 9999.00000,    0.08617,    8.65992,    5.00000,   14.04816,   15.37455,   12.84317 
UPK_53                   , 2243063188914461737A,    0.49455,    3.54940,    4.77400,    0.08617,    8.65992,    5.00000,   14.29684,   15.56587,   13.11640 
UPK_53                   , 2243063188914461737B,    0.32500,    3.53500,    4.55800,    0.08617,    8.65992,    5.00000,   15.77036,   17.35370,   14.47491 
UPK_53                   , 2243063188780244011 ,    0.11279,    3.41420,    5.10000,    0.07962,    8.65992,    5.00000,   19.55596,   22.47356,   18.01703 
