# Zini     MH        logAge   Mini            int_IMF        Mass     logL     logTe    logg    label   McoreTP   C_O     period0   period1   period2   period3   period4   pmode   Mloss       tau1m   X        Y        Xc         Xn         Xo         Cexcess   Z         mbolmag   Gmag     G_BPbrmag   G_BPftmag   G_RPmag  
  0.0152   0.01508   7.2      0.0900000036    1.0816895962   0.09     -2.201   3.4004   4.147   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -2.25E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.273    12.299   14.887      14.932      10.852   
  0.0152   0.01508   7.2      0.0916490704    1.0973013639   0.092    -2.19    3.4016   4.149   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -2.29E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.245    12.271   14.86       14.905      10.824   
  0.0152   0.01508   7.2      0.1000000015    1.1711064577   0.1      -2.134   3.4075   4.154   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -2.47E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.106    12.132   14.722      14.767      10.685   
  0.0152   0.01508   7.2      0.1067448556    1.2250993252   0.107    -2.093   3.4118   4.159   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -2.62E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.003    12.03    14.621      14.666      10.582   
  0.0152   0.01508   7.2      0.1200000122    1.3193155527   0.12     -2.018   3.4197   4.166   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -2.91E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.816     11.808   14.362      14.407      10.369   
  0.0152   0.01508   7.2      0.1400000006    1.4384527206   0.14     -1.918   3.4303   4.175   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -3.36E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.565     11.407   13.788      13.833      10.005   
  0.0152   0.01508   7.2      0.1562971473    1.5202465057   0.156    -1.845   3.4386   4.183   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -3.72E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.383     11.119   13.387      13.432      9.743    
  0.0152   0.01508   7.2      0.1683800071    1.5740463734   0.168    -1.797   3.444    4.19    0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -3.97E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.263     10.932   13.128      13.173      9.573    
  0.0152   0.01508   7.2      0.1782902479    1.6145569086   0.178    -1.761   3.4481   4.194   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -4.16E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.172     10.79    12.932      12.976      9.444    
  0.0152   0.01508   7.2      0.1894753128    1.6569012403   0.189    -1.72    3.4525   4.197   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -4.43E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.07      10.635   12.717      12.761      9.303    
  0.0152   0.01508   7.2      0.2013499886    1.698439002    0.201    -1.681   3.4569   4.203   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -4.68E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.973     10.484   12.505      12.549      9.167    
  0.0152   0.01508   7.2      0.2190873325    1.7548886538   0.219    -1.627   3.4628   4.209   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -5.05E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.837     10.282   12.229      12.273      8.983    
  0.0152   0.01508   7.2      0.2384215593    1.8100192547   0.238    -1.572   3.4688   4.215   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -5.45E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.7       10.083   11.961      12.005      8.802    
  0.0152   0.01508   7.2      0.2556604743    1.8544858694   0.256    -1.528   3.4738   4.22    0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -5.79E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.589     9.922    11.744      11.789      8.655    
  0.0152   0.01508   7.2      0.2833759785    1.9183696508   0.283    -1.461   3.4813   4.228   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -6.36E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.422     9.681    11.421      11.465      8.437    
  0.0152   0.01508   7.2      0.3020005822    1.9569032192   0.302    -1.42    3.4859   4.234   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -6.71E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.321     9.534    11.22       11.265      8.305    
  0.0152   0.01508   7.2      0.3430799842    2.031927824    0.343    -1.34    3.495    4.245   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -7.48E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.12      9.252    10.849      10.894      8.05     
  0.0152   0.01508   7.2      0.3500000238    2.0434176922   0.35     -1.327   3.4964   4.247   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -7.62E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.088     9.208    10.792      10.837      8.01     
  0.0152   0.01508   7.2      0.3786943257    2.0880880356   0.379    -1.279   3.5019   4.254   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -8.12E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.966     9.044    10.582      10.627      7.86     
  0.0152   0.01508   7.2      0.4000000358    2.1185026169   0.4      -1.244   3.5057   4.259   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -8.51E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.881     8.929    10.437      10.482      7.756    
  0.0152   0.01508   7.2      0.4500000477    2.1822810173   0.45     -1.171   3.5147   4.272   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -9.35E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.696     8.679    10.115      10.16       7.529    
  0.0152   0.01508   7.2      0.4910590649    2.2281286716   0.491    -1.115   3.5217   4.284   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.0E-14    0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.559     8.49     9.872       9.917       7.359    
  0.0152   0.01508   7.2      0.5             2.2374541759   0.5      -1.103   3.5232   4.285   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.02E-14   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.529     8.449    9.82        9.866       7.323    
