# cluster             nb_members   logAge    BP_RP_0_min             BP_RP_0_max         
  ASCC_10             113          8.41996   0.08163200000000148     1.3655820540540526  
  ASCC_101            81           8.6902    0.22041940540540572     2.3668747567567583  
  ASCC_108            199          8.02938   -0.029835729729728616   1.5174434054054051  
  ASCC_11             227          8.38917   0.09152610810810846     1.4572928108108119  
  ASCC_111            83           8.43933   0.08387583783783864     1.7696216756756786  
  ASCC_113            290          8.45939   0.12467864864864736     2.091971243243241   
  ASCC_114            126          7.68034   -0.10578572972972933    1.7386725945945918  
  ASCC_115            68           8.12057   -0.010783405405406843   1.760493189189186   
  ASCC_12             139          7.96988   -0.04135021621621482    1.3442345945945946  
  ASCC_123            45           7.65031   -0.03466227027026997    3.1981034054054045  
  ASCC_127            113          7.26007   -0.1986050810810802     2.9455075135135163  
  ASCC_128            88           8.39967   0.09958232432432373     1.9215670810810834  
  ASCC_16             170          7.13033   -0.25365416216216174    3.343441999999998   
  ASCC_19             142          7.02119   -0.23358664864864837    3.5344279999999992  
  ASCC_21             87           6.94988   -0.2214621081081085     3.462514648648648   
  ASCC_23             105          8.36922   0.06101124324324453     2.0082104864864863  
  ASCC_32             171          7.39967   -0.17025318918918889    2.379648702702703   
  ASCC_41             112          8.33041   0.04953994594594648     2.6406976216216207  
  ASCC_58             238          7.72016   -0.09527610810810763    2.5924161621621615  
  ASCC_85             158          7.85003   -0.06984308108108117    1.5708450810810817  
  ASCC_87             40           7.92012   0.005026162162161618    1.7778770270270272  
  ASCC_90             71           8.91009   0.39178837837837827     1.9659463783783757  
  ASCC_99             74           8.55023   0.1961724324324321      2.563968918918917   
  Alessi_1            46           9.16137   0.5969052972972967      1.8817365405405406  
  Alessi_10           92           7.95999   -0.01956302702702617    2.3733066486486494  
  Alessi_12           195          8.13033   -0.011115891891892715   2.210071783783786   
  Alessi_13           44           7.55023   0.46494508108108185     3.841896432432434   
  Alessi_19           55           7.40993   -0.1523968648648648     2.459857567567567   
  Alessi_20           110          6.96988   -0.2596329189189193     3.2805781081081067  
  Alessi_21           241          7.8202    -0.07083351351351333    2.307730486486487   
  Alessi_24           176          7.85974   -0.06678551351351453    2.467934756756756   
  Alessi_3            98           8.80003   0.28076313513513607     2.5919235135135126  
  Alessi_31           146          8.38021   0.05970486486486537     1.6753223783783786  
  Alessi_37           247          8.13988   -0.003623783783784029   1.8805884324324331  
  Alessi_43           245          7.0607    -0.2754435675675675     2.314890864864865   
  Alessi_6            108          8.63043   0.19456729729729794     1.6155623783783752  
  Alessi_62           152          8.84011   0.3134173513513511      2.0215031351351334  
  Alessi_8            49           8.06819   -0.016839513513512927   2.054532702702703   
  Alessi_Teutsch_11   100          8.16137   0.0063700540540547225   2.117624540540539   
  Alessi_Teutsch_12   37           7.94002   -0.04150227027026973    2.0562665405405416  
  Alessi_Teutsch_3    98           8.02119   -0.019531027027027748   1.967869621621621   
  Alessi_Teutsch_5    118          7.26951   -0.1966946486486486     1.9465766486486473  
  Alessi_Teutsch_8    330          8.06819   -0.01638897297297398    1.5587189189189175  
  Aveni_Hunter_1      64           7.02119   -0.13582475675675806    3.293805999999999   
  BH_164              186          7.51055   -0.11257264864864819    2.7498751351351354  
  BH_221              103          7.02938   -0.28512216216216246    1.7716821081081104  
  BH_23               70           7.45939   -0.1518991891891891     2.7860818918918917  
  BH_56               97           7.25042   -0.18953789189189107    2.209456756756755   
  Blanco_1            479          8.02119   -0.03649491891891916    3.1126520540540565  
  COIN-Gaia_11        131          8.89982   0.36381297297297266     1.7648760540540531  
  COIN-Gaia_12        79           8.72997   0.25442291891891894     1.5590911891891888  
  COIN-Gaia_13        302          8.26951   0.031098216216215335    2.1711738378378382  
  COIN-Gaia_19        94           8.02938   -0.013790432432431665   1.1376140000000021  
  COIN-Gaia_23        50           8.11059   -0.01801475675675701    1.4525908648648633  
  COIN-Gaia_24        112          7.92012   -0.05883475675675681    1.3720160000000006  
  COIN-Gaia_25        76           8.74974   0.2724916216216215      1.5688551351351359  
  COIN-Gaia_3         73           7.6902    -0.0951040000000013     1.1751709189189201  
  COIN-Gaia_30        204          8.40993   0.06884091891891919     1.5980790270270246  
  COIN-Gaia_38        102          8.42975   0.08487535135135049     0.8117645945945975  
  COIN-Gaia_5         33           8.04139   0.05055059459459493     1.3355307567567565  
  COIN-Gaia_8         96           8.0       -0.010632594594594313   1.5612854054054042  
  Collinder_132       81           7.38917   -0.17386070270270196    2.58025464864865    
  Collinder_135       302          7.41996   -0.1584784324324326     3.417486756756758   
  Collinder_140       115          7.42975   -0.1530233513513524     2.9369549729729747  
  Collinder_350       151          8.77012   0.2798303783783787      2.292487189189188   
  Collinder_359       248          7.57054   -0.12181816216216307    2.4658452972972973  
  Collinder_394       556          7.95999   -0.05192956756756789    1.9799491351351366  
  Collinder_421       175          8.36922   0.0600072972972967      1.1619011351351358  
  Collinder_463       604          8.0607    -0.030484810810809893   1.6829232432432415  
  Collinder_69        581          7.10037   -0.2607328108108113     3.2153318378378377  
  Collinder_95        119          7.28103   -0.19576200000000094    2.564894594594596   
  ESO_130_06          81           8.14922   0.009159351351353096    1.747931405405405   
  FSR_0398            50           7.26007   -0.1980462162162162     1.3390710810810817  
  FSR_0551            42           7.13033   -0.23607675675675766    1.3837056216216224  
  Ferrero_11          63           8.45025   0.12272745945945929     1.6252637297297277  
  Gulliver_20         76           8.25042   0.035104108108108434    2.2279275135135115  
  Gulliver_21         157          8.43933   0.08963686486486448     2.0401973513513507  
  Gulliver_29         300          7.02938   -0.2873990270270267     1.8741436216216198  
  Gulliver_44         108          8.65031   0.19903610810810862     1.3142775675675675  
  Gulliver_6          302          7.22011   -0.21492648648648652    3.1410401081081067  
  Gulliver_60         223          7.96988   -0.04552264864865008    1.7846270810810811  
  Gulliver_9          230          7.25042   -0.20208254054054045    2.760348324324323   
  Haffner_13          188          7.30963   -0.19042567567567656    2.799386594594594   
  Harvard_10          282          8.30103   0.03301297297297301     1.872082702702705   
  IC_1396             340          7.07918   -0.26934870270270195    2.3193940540540536  
  IC_2391             216          7.45939   -0.11727043243243271    3.8514854054054064  
  IC_2395             254          7.30963   -0.19401745945945986    2.544081351351351   
  IC_2488             363          8.20952   0.01328740540540635     1.3826044324324303  
  IC_2602             279          7.55991   -0.1256407027027027     3.9298858378378387  
  IC_348              119          7.06819   -0.25755340540540556    3.179686972972974   
  IC_4665             156          7.51983   -0.13383648648648738    2.8814569189189188  
  IC_4725             549          8.04922   -0.032487081081081226   1.8155851351351335  
  IC_4756             381          9.11059   0.534238108108108       2.1605331351351347  
  LP_2000             90           8.34044   0.06526810810810935     1.2460067567567588  
  LP_2219             105          8.10037   -0.015591783783783647   1.294652540540539   
  LP_2220             117          8.65992   0.20151675675675718     1.1698675675675692  
  Lynga_2             93           8.0086    -0.03470772972972913    1.4420129729729718  
  Mamajek_4           255          8.57054   0.14170264864864898     2.270528594594594   
  Melotte_111         218          8.81023   0.4705503783783791      3.928335405405405   
  Melotte_20          688          7.71012   -0.08763297297297287    3.7597203783783777  
  Melotte_22          1158         7.88986   -0.06303929729729747    3.985194594594594   
  NGC_1027            277          8.29003   0.027447189189188315    0.9037031351351359  
  NGC_1039            601          8.12057   -0.007265459459459694   2.221998432432432   
  NGC_1342            433          8.91009   0.3630025405405398      1.6282054594594586  
  NGC_1502            129          7.02119   -0.2812164324324329     1.9210821621621637  
  NGC_1528            302          8.46982   0.09755518918918904     1.1623103783783775  
  NGC_1545            194          8.04139   -0.016182540540540913   1.6823192972972978  
  NGC_1582            133          8.36922   0.06720064864864916     1.2574123243243258  
  NGC_1647            613          8.55991   0.13431762162162098     1.7377412972972992  
  NGC_1662            237          8.88986   0.34460794594594535     2.191324324324323   
  NGC_1664            355          8.71012   0.21911524324324405     1.0176194594594585  
  NGC_1750            315          8.40993   0.07089421621621661     1.5684960540540553  
  NGC_1758            161          8.43933   0.0883487027027039      1.2839373513513521  
  NGC_1901            113          8.94988   0.43669518918919        2.394670648648648   
  NGC_1912            579          8.46982   0.09563778378378401     1.2843079459459483  
  NGC_1960            267          7.45025   -0.1546443783783773     1.4063057837837862  
  NGC_1980            106          7.12057   -0.2149345405405403     3.151586054054055   
  NGC_2099            1374         7.12057   0.18265010810810955     1.205625621621623   
  NGC_2168            1243         8.17026   -0.004228432432433038   1.5371979999999978  
  NGC_2169            43           7.08991   -0.2639648648648649     1.7027504864864862  
  NGC_2184            68           8.81023   0.4164480540540535      2.0044862702702697  
  NGC_2232            176          7.25042   -0.18846691891891898    3.387001351351353   
  NGC_2244            351          7.10037   -0.25500259459459296    1.478282486486484   
  NGC_225             212          8.45939   0.10817481081081204     1.7019557297297283  
  NGC_2264            134          7.43933   -0.13389508108108006    2.391270054054053   
  NGC_2281            381          8.79029   0.2864132972972986      2.2210981621621646  
  NGC_2287            583          8.23045   0.01239470270270318     2.0288122702702696  
  NGC_2301            476          8.33041   0.058153243243243835    1.74484027027027    
  NGC_2323            175          8.12057   -0.009591783783784946   1.5385267567567549  
  NGC_2343            119          7.94002   -0.024966864864864602   1.398087945945948   
  NGC_2353            137          8.0086    -0.03613486486486511    1.3687849189189172  
  NGC_2358            75           8.8202    0.3194810810810813      1.6177180000000002  
  NGC_2360            577          9.0086    0.4446479459459471      1.4074656216216221  
  NGC_2374            74           8.45939   0.1322598918918915      1.3368538378378378  
  NGC_2422            530          8.04139   -0.03541400000000089    2.3382629189189204  
  NGC_2423            256          9.04139   0.46909621621621733     1.6446551351351342  
  NGC_2447            616          8.75967   0.2695811891891896      1.6543087027027017  
  NGC_2448            114          7.98      -0.03497562162162096    1.4954578378378398  
  NGC_2451A           311          7.55023   -0.12185551351351287    3.838834918918918   
  NGC_2451B           253          7.60959   -0.1202366486486498     2.9024429729729744  
  NGC_2516            1791         8.38021   0.061371945945946194    2.347984432432432   
  NGC_2527            284          8.84011   0.32239021621621633     2.083953297297297   
  NGC_2539            418          8.84011   0.30663659459459613     1.5454456216216241  
  NGC_2546            303          8.14922   -0.010181837837838492   1.6273789729729733  
  NGC_2547            206          7.51055   -0.13150994594594628    2.947039189189189   
  NGC_2548            500          8.58995   0.16609654054054057     1.9670385405405433  
  NGC_2571            135          7.42975   -0.15333232432432445    1.8611306486486485  
  NGC_2632            748          8.82995   0.3444891351351351      3.159876216216216   
  NGC_2669            195          8.13033   0.011348918918918316    1.5085712972972984  
  NGC_2682            658          9.63043   0.9375603243243245      1.911809027027026   
  NGC_2910            132          8.11059   -0.008915837837837693   1.5215138378378386  
  NGC_2925            154          8.11059   -0.018795783783783687   1.8925692432432457  
  NGC_3114            1051         8.16137   -0.008286432432433571   1.6203427027027002  
  NGC_3228            108          7.48001   -0.1489242702702706     2.714600486486487   
  NGC_3532            1727         8.59988   0.15503924324324295     2.2620651351351375  
  NGC_5460            136          8.19866   0.004704918918920109    1.9599650270270275  
  NGC_5662            294          8.30103   0.04418794594594583     1.6889348648648637  
  NGC_5822            437          8.95999   0.4035464864864852      1.7126900540540535  
  NGC_6025            253          8.02119   -0.039917783783783745   1.86854643243243    
  NGC_6087            268          8.0       -0.04010589189189184    1.5577481621621636  
  NGC_6124            936          8.28103   0.025379189189190354    1.8072111351351354  
  NGC_6193            342          6.71012   -0.3349788648648651     2.418271675675677   
